,Unnamed: 0,Unnamed: 0.1,Timestamp,Open,High,Low,Close,Volume,24m Volume RA,24m Close Price RA
472,472,2019-01-18 18:23:00+00:00,2019-01-18 18:23:00+00:00,6.251e-05,6.325e-05,6.243e-05,6.324e-05,102,84.75,6.24945833333333e-05
473,473,2019-01-18 18:24:00+00:00,2019-01-18 18:24:00+00:00,6.314e-05,6.373e-05,6.3e-05,6.347e-05,188,88.16666666666669,6.25083333333333e-05
474,474,2019-01-18 18:25:00+00:00,2019-01-18 18:25:00+00:00,6.368e-05,6.402e-05,6.335e-05,6.402e-05,302,97.5,6.256749999999998e-05
475,475,2019-01-18 18:26:00+00:00,2019-01-18 18:26:00+00:00,6.402e-05,6.438e-05,6.32e-05,6.332e-05,225,100.33333333333331,6.261249999999997e-05
476,476,2019-01-18 18:27:00+00:00,2019-01-18 18:27:00+00:00,6.334e-05,6.352e-05,6.261e-05,6.317e-05,217,102.66666666666669,6.26458333333333e-05
477,477,2019-01-18 18:28:00+00:00,2019-01-18 18:28:00+00:00,6.312e-05,6.345e-05,6.29e-05,6.297e-05,88,98.33333333333331,6.264666666666662e-05
478,478,2019-01-18 18:29:00+00:00,2019-01-18 18:29:00+00:00,6.296e-05,6.326e-05,6.213e-05,6.246e-05,148,100.75,6.264916666666664e-05
479,479,2019-01-18 18:30:00+00:00,2019-01-18 18:30:00+00:00,6.248e-05,6.31e-05,6.2e-05,6.28e-05,184,104.66666666666669,6.26733333333333e-05
480,480,2019-01-18 18:31:00+00:00,2019-01-18 18:31:00+00:00,6.291e-05,6.291e-05,6.256e-05,6.276e-05,59,103.79166666666669,6.268458333333331e-05
481,481,2019-01-18 18:32:00+00:00,2019-01-18 18:32:00+00:00,6.275e-05,6.292e-05,6.246e-05,6.262e-05,64,104.79166666666669,6.26945833333333e-05
482,482,2019-01-18 18:33:00+00:00,2019-01-18 18:33:00+00:00,6.26e-05,6.294e-05,6.229e-05,6.287e-05,104,106.29166666666669,6.272166666666664e-05
483,483,2019-01-18 18:34:00+00:00,2019-01-18 18:34:00+00:00,6.289e-05,6.3e-05,6.225e-05,6.286e-05,105,107.375,6.276999999999997e-05
484,484,2019-01-18 18:35:00+00:00,2019-01-18 18:35:00+00:00,6.268e-05,6.287e-05,6.25e-05,6.264e-05,77,106.58333333333331,6.279333333333331e-05
485,485,2019-01-18 18:36:00+00:00,2019-01-18 18:36:00+00:00,6.265e-05,6.281e-05,6.244e-05,6.264e-05,36,105.66666666666669,6.281416666666666e-05
486,486,2019-01-18 18:37:00+00:00,2019-01-18 18:37:00+00:00,6.26e-05,6.267e-05,6.213e-05,6.236e-05,75,105.54166666666669,6.280333333333332e-05
487,487,2019-01-18 18:38:00+00:00,2019-01-18 18:38:00+00:00,6.243e-05,6.27e-05,6.231e-05,6.257e-05,50,105.25,6.280124999999999e-05
488,488,2019-01-18 18:39:00+00:00,2019-01-18 18:39:00+00:00,6.241e-05,6.257e-05,6.178e-05,6.219e-05,133,107.125,6.279291666666665e-05
489,489,2019-01-18 18:40:00+00:00,2019-01-18 18:40:00+00:00,6.217e-05,6.231e-05,6.071e-05,6.092e-05,179,111.75,6.273416666666665e-05
490,490,2019-01-18 18:41:00+00:00,2019-01-18 18:41:00+00:00,6.092e-05,6.148e-05,6.051e-05,6.115e-05,296,120.58333333333331,6.266958333333333e-05
491,491,2019-01-18 18:42:00+00:00,2019-01-18 18:42:00+00:00,6.114e-05,6.205e-05,6.112e-05,6.179e-05,173,125.33333333333331,6.264416666666665e-05
492,492,2019-01-18 18:43:00+00:00,2019-01-18 18:43:00+00:00,6.186e-05,6.186e-05,6.121e-05,6.125e-05,85,126.45833333333331,6.257708333333331e-05
493,493,2019-01-18 18:44:00+00:00,2019-01-18 18:44:00+00:00,6.128e-05,6.173e-05,6.107e-05,6.165e-05,93,127.70833333333331,6.253249999999997e-05
494,494,2019-01-18 18:45:00+00:00,2019-01-18 18:45:00+00:00,6.156e-05,6.175e-05,6.131e-05,6.167e-05,89,129.625,6.249791666666664e-05
495,495,2019-01-18 18:46:00+00:00,2019-01-18 18:46:00+00:00,6.152e-05,6.182e-05,6.136e-05,6.181e-05,66,130.75,6.246666666666664e-05
496,496,2019-01-18 18:47:00+00:00,2019-01-18 18:47:00+00:00,6.175e-05,6.19e-05,6.162e-05,6.173e-05,55,128.79166666666666,6.240374999999998e-05
497,497,2019-01-18 18:48:00+00:00,2019-01-18 18:48:00+00:00,6.174e-05,6.276e-05,6.174e-05,6.257e-05,170,128.04166666666666,6.236624999999997e-05
498,498,2019-01-18 18:49:00+00:00,2019-01-18 18:49:00+00:00,6.257e-05,6.29e-05,6.213e-05,6.271e-05,107,119.91666666666669,6.231166666666666e-05
499,499,2019-01-18 18:50:00+00:00,2019-01-18 18:50:00+00:00,6.265e-05,6.269e-05,6.221e-05,6.233e-05,79,113.83333333333331,6.227041666666666e-05
500,500,2019-01-18 18:51:00+00:00,2019-01-18 18:51:00+00:00,6.234e-05,6.244e-05,6.222e-05,6.244e-05,54,107.04166666666669,6.223999999999999e-05
501,501,2019-01-18 18:52:00+00:00,2019-01-18 18:52:00+00:00,6.249e-05,6.251e-05,6.23e-05,6.231e-05,29,104.58333333333331,6.221249999999999e-05
502,502,2019-01-18 18:53:00+00:00,2019-01-18 18:53:00+00:00,6.231e-05,6.244e-05,6.206e-05,6.214e-05,54,100.66666666666669,6.219916666666665e-05
503,503,2019-01-18 18:54:00+00:00,2019-01-18 18:54:00+00:00,6.217e-05,6.217e-05,6.166e-05,6.184e-05,63,95.625,6.215916666666666e-05
504,504,2019-01-18 18:55:00+00:00,2019-01-18 18:55:00+00:00,6.184e-05,6.192e-05,6.166e-05,6.19e-05,70,96.08333333333331,6.212333333333332e-05
